sku,name,category,price_single,price_case,unit,spec,image_url
S030203,Lychee Longan Syrup Honey Syrup 荔枝汁 龍眼蜂蜜,Tropical Fruit Syrup 果汁,15.0,50.0,5.5LBS/BOTTLE,4 BOTTLES/CASE,/media/products/S030203.png
S030303,Mango Taro Syrup 宇香蜜 芒果汁,Tropical Fruit Syrup 果汁,18.0,65.0,5.5LBS/BOTTLE,4 BOTTLES/CASE,/media/products/S030303.png
S030403,Ginger Brown 黑糖薑母,Sugar Syrup,15.0,50.0,5.5LBS/BOTTLE,4 BOTTLES/CASE,/media/products/S030403.png
S030502,S030502,Sugar Syrup 糖漿,55.0,55.0,,,/media/products/S030502.png
S030702,Fructose 果糖 50LBS,Sugar Syrup 糖漿,50.0,50.0,,,/media/products/S030702.png
S030803,S030803,Tropical Fruit Syrup 果汁,16.0,55.0,5.5LBS/BOTTLE,4 BOTTLES/CASE,/media/products/S030803.png
S030903,S030903,Tropical Fruit Syrup 果汁,16.0,55.0,5.5LBS/BOTTLE,4 BOTTLES/CASE,/media/products/S030903.png
S090103,S090103,Tropical Fruit Syrup 果汁,15.0,50.0,5.5LBS/BOTTLE,4 BOTTLES/CASE,/media/products/S090103.png
T010103,T010103,默认分类,10.0,80.0,500G/BAG,10 BAGS/CASE,/media/products/T010103.png
T010203,T010203,默认分类,10.0,80.0,500G/BAG,10 BAGS/CASE,/media/products/T010203.png
T010503,Four Seasons Spring Phoenix Oolong Tea Leaves Oolong Tea Leaves 四季春烏龍茶葉 鸭屎香烏龍茶葉,默认分类,12.0,105.0,300G/BAG,10 BAGS/CASE,/media/products/T010503.png
T010603,T010603,默认分类,12.0,95.0,300G/BAG,10 BAGS/CASE,/media/products/T010603.png
T010703,T010703,默认分类,10.0,85.0,500G/BAG,10 BAGS/CASE,/media/products/T010703.png
T010803,T010803,默认分类,8.0,60.0,300G/BAG,10 BAGS/CASE,/media/products/T010803.png
T010903,T010903,默认分类,10.0,85.0,500G/BAG,10 BAGS/CASE,/media/products/T010903.png
T011003,T011003,默认分类,8.0,60.0,300G/BAG,10 BAGS/CASE,/media/products/T011003.png
T020103,T020103,Filtered Tea Bag,10.0,90.0,500G/BAG,10 BAGS/CASE,/media/products/T020103.png
T020203,T020203,Filtered Tea Bag,12.0,105.0,500G/BAG,10 BAGS/CASE,/media/products/T020203.png
